NFkB	1	BclXL
NFkB	1	IL2
p38	1	NFAT
cNFkB	1	NFkB
Bad	-1	BclXL
Bad	-1	BCL2
MAPK	1	ERK12
MAPK	1	p38
MAPK	1	AP1
PLCg1	1	cNFkB
PLCg1	1	NFAT
GSK3b	-1	NFAT
ERK12	1	AP1
Akt	1	cNFkB
Akt	-1	GSK3b
Akt	-1	Bad
Akt	1	mTOR
Grb2	1	PI3K
Grb2	1	MAPK
Grb2	1	PLCg1
PI3K	-1	ERK12
PI3K	1	AP1
PI3K	1	Akt
CD3z	1	PLCg1
CD3z	1	p38
